"India authentic vegitarian wraps and biryani cuisines with reasonable prices and variety, highly recommend",POSITIVE
"Wow! This is so tasty. It's authentic and the salami is salty, so take note. The pizza crust is amazing and so flavorful. Staff are super friendly and welcoming too. Just give it a try",POSITIVE
Super overpriced naan… 2 naan and small portion of mutton cost $17 at coffee shop,NEGATIVE
"This place serve decent Japanese food but the price is a little high . Given the influx of authentic Japanese franchise in the island, the price tag is still stuck in the 90s (plus inflation). Well if you are in the area craving for decent Japanese food and is not willing to travel less than 10mins to orchard road, then this is the option for you. Set bentos for 2 person set you back at the average 70SGD . Overall is good quality but no wow factor .",NEGATIVE
This restaurant brings back memories of our childhood👍🏻👍🏻👍🏻,POSITIVE
"Most horrible experience ever. Made a reservation on Quandoo, went down and they told me Quandoo made a mistake because they are fully booked. Our booking was for 7pm and we arrived at 655pm. There were 3 big tables empty at that time. Told me it was for 730pm reservation. If they had let me in at 7pm, some other tables would have been done at 730pm. A family came in later than 730pm and apparently knows the manager. Manager ushered them to the empty at the front. They seemed to dislike the table or for some other reason wanted to change their table. Manager moved them to another empty table inside and suddenly we now have a table. What kind of reason could it be that when a family switched seat there was suddenly an available table? It means that there was a table available all this time? And they waited 45 min to give us a table?

So we finally sat down and ready to place our orders. Waited 15 min to have our orders taken by apparently only the managers can take order. But at this point all the managers suddenly disappeared.

There were flies flying around and I even killed one on the menu. We saw someone’s Peking duck getting served and they dropped the cracker on the table. The waitress picked it up with his bare hands and put it back on the plate. That was when we know we had to get out of there. We waited 45 min for a table despite having a reservation, 15 min just to have someone come to us to take order. 1 hour for nothing.

Overall a very bad experience and will never be back without even trying their food. They blamed the app but it is on the restaurant to at least have the courtesy to call the patrons and let them know? It is Mother’s Day and everywhere else is fully booked. Where do they expect us to get a table?",NEGATIVE
"All the pork barbeque are nice. Cold noodle, Kimchi Pancake, all the side dishes, cucumber kimchi, royal kimchi, steamed egg are nice. But for side Kimchi, it would be better if it is more fermented. Personal opinion only.",POSITIVE
"I’ve been here for a couple of times and food is really good, staffs are also really nice, friendly and helpful. Nice place to hang out with your family and friends!",POSITIVE
This is a great alternative to the other restaurant nearby Love their flavourful fish soup and the chicken cutlet was crispy. Highly recommend this seafood restaurant with more than 30 years of experience Chef. If you are lucky you can watch their staff prepare the Giant Grouper fish it is as big as 2 human size,POSITIVE
One time can eat,NEGATIVE
"Very excellent nasi padang.  We had rendang. Ikan sepat, sambal goreng penatin and sayor duri and brinjal. The cost is $14.00 for 2 person. The rendang was very good and the chilli padi lemah is very good. The staff are friendly and helpful. Service is very good. Sure I will recommend my friends.",POSITIVE
"Went for the $65 curry fish head set meal that comes with the following
- 1 curry fish head
- 1 meat (choose between 2 options)
- 1 beancurd dish (choose between 2 options )
- 1 veggie (choose between 2 options)
- 3 white rice

Overall the food is great and very delicious.

The service can be a bit slow (probably due to the lack of staff and it’s close to the Lunar New Year season), but the food is worth the wait.

Will return again!",POSITIVE
Called to reserve table for 10 paxes but when reached there. They said only have up to 6 paxes. The staff was rude as well,NEGATIVE
Food was meh but the worse part was the place itself filled with flies. Once food is up there are so many flies coming to ur food I forget how the food taste since I was busy trying to shuuu away the flies. Ask the staff about it but there is nothing they can do. Count how many flies were there in the picture,NEGATIVE
